"","Group1","Group2"
"1997",0.050314465408805,0.949685534591195
"1998",0.0297565374211001,0.9702434625789
"1999",0.000831600831600832,0.999168399168399
"2000",0.0767289247854619,0.923271075214538
"2001",0.978187919463087,0.0218120805369128
"2002",0.0815217391304348,0.918478260869565
"2003",0.0168005843681519,0.983199415631848
"2004",0.00709219858156028,0.99290780141844
"2005",0.19122965641953,0.80877034358047
"2006",0.504065040650406,0.495934959349593
"2007",0.162726556343578,0.837273443656422
"2008",0.605885444035733,0.394114555964267
"2009",0.919813791096887,0.0801862089031132
"2010",0.977483917083631,0.0225160829163688
"2011",0.961906934306569,0.0380930656934307
"2012",0.0860215053763441,0.913978494623656
"2013",0.7382040886742,0.2617959113258
"2014",0.681949111857897,0.318050888142103
"2015",0.240548319430216,0.759451680569784
"2016",0.746094882950073,0.253905117049927
"2017",0.00950331719562489,0.990496682804375
