Country,Year,Subtype,Observed
Cambodia,2010,H3,498
Cambodia,2011,H3,65
Cambodia,2012,H3,235
Cambodia,2013,H3,20
Cambodia,2014,H3,144
Indonesia,2015,H1,0
China,1997,H3,417
China,1998,H3,35
China,1999,H3,331
China,2000,H3,285
China,2001,H3,150
China,2002,H3,1766
China,2003,H3,1572
China,2004,H3,4794
China,2005,H3,4570
China,2006,H3,659
China,2007,H3,6506
China,2008,H3,2180
China,2009,H3,16783
China,2010,H3,12188
China,2011,H3,2339
China,2012,H3,20885
China,2013,H3,13113
China,2014,H3,34943
Indonesia,2015,H1p09,316
China,2016,H3,29502
China,2017,H3,17775
Egypt,1997,H3,0
Egypt,1998,H3,1
Egypt,1999,H3,1
Egypt,2000,H3,2
Egypt,2001,H3,0
Egypt,2002,H3,9
Egypt,2003,H3,32
Egypt,2004,H3,0
Egypt,2005,H3,0
Egypt,2006,H3,1
Egypt,2007,H3,0
Egypt,2008,H3,31
Egypt,2009,H3,882
Egypt,2010,H3,10
Egypt,2011,H3,251
Egypt,2012,H3,491
Egypt,2013,H3,252
Egypt,2014,H3,805
Indonesia,2015,H3,388
Indonesia,1997,H3,0
Indonesia,1998,H3,0
Indonesia,1999,H3,0
Indonesia,2000,H3,0
Indonesia,2001,H3,0
Indonesia,2002,H3,0
Indonesia,2003,H3,0
Indonesia,2004,H3,191
Indonesia,2005,H3,103
Indonesia,2006,H3,0
Indonesia,2007,H3,0
Indonesia,2008,H3,0
Indonesia,2009,H3,0
Indonesia,2010,H3,279
Indonesia,2011,H3,250
Indonesia,2012,H3,213
Indonesia,2013,H3,439
Indonesia,2014,H3,483
Indonesia,2015,A,704
Vietnam,1997,H3,0
Vietnam,1998,H3,0
Vietnam,1999,H3,0
Vietnam,2000,H3,0
Vietnam,2001,H3,0
Vietnam,2002,H3,0
Vietnam,2003,H3,0
Vietnam,2004,H3,0
Vietnam,2005,H3,0
Vietnam,2006,H3,45
Vietnam,2007,H3,792
Vietnam,2008,H3,223
Vietnam,2009,H3,706
Vietnam,2010,H3,377
Vietnam,2011,H3,35
Vietnam,2012,H3,304
Vietnam,2013,H3,365
Vietnam,2014,H3,224
Thailand,2015,H1,0
Thailand,1997,H3,0
Thailand,1998,H3,0
Thailand,1999,H3,0
Thailand,2000,H3,1
Thailand,2001,H3,1
Thailand,2002,H3,0
Thailand,2003,H3,1
Thailand,2004,H3,186
Thailand,2005,H3,301
Thailand,2006,H3,65
