"","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"H1",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,NA
"H1p09",0,0,0,0,0,0,0,0,0,0,0,0,0,67,50,34,25,24,36,NA
"H3",0,0,0,0,0,0,0,0,0,0,0,0,0,17,77,66,11,23,13,NA
"A",0,0,0,0,0,0,0,0,0,0,0,0,0,96,127,100,36,47,49,NA
