"","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"H1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"H1p09",0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
"H3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,NA
"A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,NA
