"","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"H1",0,0,0,0,0,0,0,0,0,0,0,6,18,1,0,0,0,0,1,NA
"H1p09",0,0,0,0,0,0,0,0,0,0,0,0,173,155,474,18,28,83,84,NA
"H3",0,0,0,0,0,0,0,0,0,0,0,22,72,5,38,150,20,47,29,NA
"A",0,0,0,0,0,0,0,0,0,0,0,28,263,161,512,168,48,130,114,NA
